1, 602197.9846255836, 492700.3332741477
2, 589112.4337856526, 473248.3441558442
3, 562050.7472308922, 465413.182325487
4, 569234.0797712393, 463649.62403612013
5, 630779.4681996676, 463311.75753348216
6, 504311.35798093025, 463237.4615462662
7, 566856.170899627, 463075.5547635958
8, 573443.6565862262, 463092.3277191558
9, 566623.2913922934, 463245.0408887987
10, 618058.6809784815, 463076.14612926135
11, 509235.89888157224, 463322.59377536527
12, 570482.6006537378, 463289.08497362013
13, 563232.4355936612, 463830.14891943993
14, 566289.7445870762, 464093.92580661527
15, 561709.4908552832, 464260.8998833198
16, 568955.206628413, 465064.8801237825
17, 559010.1402713282, 465022.3379667208
18, 561416.2264800294, 464992.32421875
19, 559138.953186853, 465725.80679281655
20, 561902.2895097443, 467649.931640625
21, 555741.0209776568, 469472.0943841315
22, 564215.8538558161, 468316.39120840095
23, 545461.2184550092, 469279.74051339284
24, 556776.815541895, 471418.94155844155
25, 547823.0362886343, 471474.6600294237
26, 549947.9243982821, 473621.28695718345
27, 556527.2479176183, 473833.76075487013
28, 540319.7280295244, 477283.2588271104
29, 567763.1548876497, 477638.92687195615
30, 524402.6662574857, 477664.322950487
31, 599579.9606837444, 480778.8910562094
32, 489024.9846953664, 481245.50446428574
33, 539146.3319630532, 481175.7926643669
34, 540629.8659615433, 484553.538377638
35, 547048.2732329096, 485089.0709466315
36, 532077.8735440774, 487086.2777495942
37, 538296.4528537987, 488623.1424005682
38, 538732.2307653269, 490277.65313007304
39, 547598.5101375355, 488163.50027901784
40, 528675.5331246194, 493072.25867491885
41, 531449.1016259389, 492535.94432325487
42, 535057.7286813591, 491601.24573863635
43, 538119.842259186, 496515.8849431818
44, 530415.9554769971, 495835.252637987
45, 536299.5204812475, 496346.224609375
46, 527375.9442879618, 497628.7593344156
47, 531913.7855892205, 499143.57033786527
48, 542568.6587272888, 497898.11477780034
49, 529686.8817086632, 500232.6349685471
50, 518070.6007504821, 502353.2901024757
51, 544391.9697459907, 502270.78510551946
52, 523716.23615446105, 502009.00426136365
53, 519392.5004916514, 504409.76372260554
54, 527454.3536528116, 504184.2560622971
55, 526885.2931194174, 503019.3146306818
56, 526963.1284415601, 504969.5467989042
57, 525202.5361284511, 506040.5405083198
58, 534151.2430851604, 505284.9911728896
59, 518169.3998521874, 508198.4317674513
60, 530093.754995813, 506214.7991578734
61, 517706.5404708435, 509070.95441862824
62, 530792.3608467823, 507767.0418273133
63, 518370.1650838662, 507875.82203733764
64, 522500.1710471224, 508060.0045403815
65, 520139.6197313997, 508901.84963474027
66, 524321.7884852061, 509099.2589539367
67, 518182.4081166895, 511199.61929281655
68, 519626.3326926005, 510089.011820211
69, 520794.54195531365, 509934.99776785716
70, 521658.4413380532, 510481.93415178574
71, 517218.06930064963, 511101.20842633926
72, 518564.2428250609, 511294.68973214284
73, 518503.6910731958, 512100.8426846591
74, 529998.5488352618, 510819.2257508117
75, 506651.46139426006, 510755.89158887987
76, 524121.9693653573, 512152.8035714286
77, 508007.72836416465, 512399.4307274757
78, 515285.57542250305, 511840.316304789
79, 512297.7467297249, 513348.33702820615
80, 517363.9403801259, 513739.2785612825
81, 520773.16546608554, 513107.54167512176
82, 499926.87350918597, 513986.2062956575
83, 508349.6653598254, 514196.9643364448
84, 509694.15045802883, 514518.75218141236
85, 513401.82616791007, 514399.2470322646
86, 516198.6373325213, 515060.86581777595
87, 500362.31174507714, 516353.72362012987
88, 501979.2159507587, 517037.83766233764
89, 513304.26864469144, 516979.09864549513
90, 501391.0169730765, 517068.9494724026
91, 502277.3951355055, 519407.2983969156
92, 501497.3821939708, 518915.42573051946
93, 506010.02445569425, 521252.2295556007
94, 499452.7048759135, 519962.7837104302
95, 498693.00459297607, 519714.9791497565
96, 497742.95748959604, 524229.21139407466
97, 499949.43452154385, 520424.25
98, 501741.77316471277, 523796.2651176948
99, 490866.39673416567, 522551.37586241885
100, 495607.44431650935, 525274.5377435065
101, 500316.52848882205, 523557.8849431818
102, 490782.87712837494, 526575.2663352273
103, 491971.13506458077, 522147.87718141236
104, 494892.5055667631, 525619.724025974
105, 491472.9948551056, 528661.2830255682
106, 485559.18963947677, 527934.8461343345
107, 488719.99689149414, 526959.8059050324
108, 494617.8927819225, 529488.8248275162
109, 490787.6446406821, 533370.128703328
110, 478607.0599561003, 532029.4681412338
111, 484230.38588294253, 531601.3290381493
112, 487287.84344232135, 532454.2804890422
113, 483053.1113606374, 530124.377536526
114, 480333.5867717215, 532525.8106229708
115, 481297.3227200061, 533032.7579646916
116, 482779.76053402864, 533748.6236810065
117, 478941.5079901289, 534917.4338981331
118, 478202.92175763805, 533686.7880478896
119, 477407.9251040398, 535765.6883116884
120, 481548.70473634795, 536697.8203125
121, 490440.3794121752, 538064.3973721591
122, 455661.8625976959, 536205.5244521104
123, 472604.21852796385, 539712.1557934253
124, 473560.83242932905, 536592.8399959416
125, 471365.7234095869, 539507.2251420454
126, 470338.388382435, 541544.2428469968
127, 521478.96239342267, 542752.4275568182
128, 421969.14078359725, 540669.4868607954
129, 463127.3393885759, 541995.7394987824
130, 465609.2210813794, 544610.010450487
131, 467262.73797515733, 541438.3210227273
132, 468090.01336974726, 546312.9514001623
133, 459089.43266595615, 546906.7836343345
134, 462419.6255360587, 545819.7028206169
135, 462517.4330878248, 547083.7364042208
136, 462862.9671878172, 548073.8708400974
137, 463346.3877892814, 546738.7371651785
138, 452612.6584386419, 548380.1370231331
139, 458888.82809328055, 552083.0010653409
140, 456154.4259731527, 550022.7310775162
141, 457691.1826278928, 548433.830762987
